web-scraper-order,web-scraper-start-url,article_link,article_link-href,détailes,Numbers_bed,numbers_SB,Superficies,adresse,Prix,image_link
"1732651772-11","https://www.expat-dakar.com/appartements-a-louer?page=122","VIP
    
                                    Studio tout équipé
                                1 chambre45 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        Aujourd'hui, 19:34
                                    
                    380 000 F Cfa
                        
                        771470100","https://www.expat-dakar.com/annonce/studio-tout-equipe-6020364","Studio tout équipé","1","1","45 m²","Almadies
            
                Dakar","380 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7b480bb9434804f5187f1fb07f8ab6ad/-/horizon-files-prod/ed/picture/qenq8xk6/9747ab98035969fffebfd5f862f68b44168a32ef.jpg"
"1732651777-12","https://www.expat-dakar.com/appartements-a-louer?page=122","A La Une
    
                                    Bel Appartement F4 a louer au Point E
                                3 chambre100 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        11. oct., 15:18
                                    
                    700 000 F Cfa
                        
                        773810707
                    
                        777628888
                    
                        778419898","https://www.expat-dakar.com/annonce/bel-appartement-f4-a-louer-au-point-e-6136927","Bel Appartement F4 a louer au Point E","3","2","100 m²","Point-e
            
                Dakar","700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/cb909678d26bcfef4f7f891418ef68dd/-/horizon-files-prod/ed/picture/qngpp0k9/307fd6eb55bddf03018be1607018f1f97a983e97.jpg"
"1732651789-13","https://www.expat-dakar.com/appartements-a-louer?page=121","Appartement f4 à la corniche de ouakm
                                3 chambre220 m²
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        10. sept., 10:19
                                    
                    2 300 000 F Cfa
                        
                        771120873
                    
                        771120873","https://www.expat-dakar.com/annonce/appartement-f4-a-la-corniche-de-ouakm-5795661","Appartement f4 à la corniche de ouakm","3","3","220 m²","Ouakam
            
                Dakar","2 300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8b3e62fdd9c1c99c6e01bf5203e89f0f/-/horizon-files-prod/ed/picture/q2jrx7dq/2c7595abf7c3817a4b6e2f016eff38702ade1acc.jpg"
"1732651794-14","https://www.expat-dakar.com/appartements-a-louer?page=121","Appartement f4 à louer au Almadi
                                3 chambre200 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        10. sept., 10:19
                                    
                    1 500 000 F Cfa
                        
                        771120873
                    
                        771120873","https://www.expat-dakar.com/annonce/appartement-f4-a-louer-au-almadi-5723385","Appartement f4 à louer au Almadi","3","3","200 m²","Almadies
            
                Dakar","1 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/46825e1d8201985908893bf8900a218f/-/horizon-files-prod/ed/picture/q564g5xe/0c1ba20c4fb79fdb9954ea475d5064f16bff9625.jpg"
"1732651799-15","https://www.expat-dakar.com/appartements-a-louer?page=121","Bel et Spacieux Appartement F5 Fann Résidence
                                4 chambre250 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        8. oct., 13:23
                                    
                    3 250 000 F Cfa
                        
                        772293834
                    
                        769023031","https://www.expat-dakar.com/annonce/bel-et-spacieux-appartement-f5-fann-residence-5649678","Bel et Spacieux Appartement F5 Fann Résidence","4","","250 m²","Fann
            
                Dakar","3 250 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/615dbe928a88531aaa8e25b6b901c8a1/-/horizon-files-prod/ed/picture/qm5rr9x9/0a18aacea8d2b82973067982c66396b4c8bd857b.jpg"
"1732651804-16","https://www.expat-dakar.com/appartements-a-louer?page=121","Très beau studio F2
                                1 chambre60 m²
                                                                                    Ngor,
                                                                                Dakar
                                    
                                        dimanche, 23:08
                                    
                    900 000 F Cfa
                        
                        781510606
                    
                        763719494","https://www.expat-dakar.com/annonce/tres-beau-studio-f2-5905112","Très beau studio F2","1","","60 m²","Ngor
            
                Dakar","900 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d56c0384c52d9cae091e1ec7cdd8b966/-/horizon-files-prod/ed/picture/qm5pg9qg/8e7f9dd586c8588bb02602a6b31a396a1cb20d94.jpg"
"1732651809-17","https://www.expat-dakar.com/appartements-a-louer?page=121","Appartement f5 avec vue sur mer
                                4 chambre300 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        10. sept., 10:18
                                    
                    3 300 000 F Cfa
                        
                        771120873
                    
                        771120873","https://www.expat-dakar.com/annonce/appartement-f5-avec-vue-sur-mer-5874953","Appartement f5 avec vue sur mer","4","4","300 m²","Fann
            
                Dakar","3 300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/cbf4ae7ef84c92f0da178ebdc9e75a01/-/horizon-files-prod/ed/picture/q4484grr/6c59ef60d62d7c950e3f57e5cec611f61b69b644.jpg"
"1732651813-18","https://www.expat-dakar.com/appartements-a-louer?page=121","Apparemment almadies 4 chambre
                                4 chambre280 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        9. sept., 22:42
                                    
                    2 500 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/apparemment-almadies-4-chambre-5757473","Apparemment almadies 4 chambre","4","5","280 m²","Almadies
            
                Dakar","2 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ffd64906903fa2e25e38accb2bf0e127/-/horizon-files-prod/ed/picture/qq4d8nkw/ca10c981b1907e951236157c29cab0ef20edd562.jpg"
"1732651818-19","https://www.expat-dakar.com/appartements-a-louer?page=121","Appartement f5 à louer Sipres2
                                
                                                                                    VDN,
                                                                                Dakar
                                    
                                        3. sept., 23:09
                                    
                    650 000 F Cfa
                        
                        784403914
                    
                        784403914","https://www.expat-dakar.com/annonce/appartement-f5-a-louer-sipres2-5868653","Appartement f5 à louer Sipres2","","","","VDN
            
                Dakar","650 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fe5cc2277146337572228a202909ed7f/-/horizon-files-prod/ed/picture/q448480e/11580907be31155998f37b08482fa5ad8e88a049.jpg"
"1732651823-20","https://www.expat-dakar.com/appartements-a-louer?page=121","Fanne residance
                                4 chambre300 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        13. sept., 10:51
                                    
                    3 000 000 F Cfa
                        
                        779148819
                    
                        779148819","https://www.expat-dakar.com/annonce/fanne-residance-5927972","Fanne residance","4","5","300 m²","Fann
            
                Dakar","3 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/035061818cd5b9383510709c462d607a/-/horizon-files-prod/ed/picture/qwe2gxvg/1b7bc157b39910138acea5c80361889fcdeae934.jpg"
"1732651828-21","https://www.expat-dakar.com/appartements-a-louer?page=121","Apartment f4 à louer avec vue mer
                                3 chambre300 m²
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        10. sept., 10:16
                                    
                    2 800 000 F Cfa
                        
                        771120873
                    
                        771120873","https://www.expat-dakar.com/annonce/apartment-f4-a-louer-avec-vue-mer-5880723","Apartment f4 à louer avec vue mer","3","3","300 m²","Ouakam
            
                Dakar","2 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1d53b06ccd64a1661f1cdf8e2f34f31f/-/horizon-files-prod/ed/picture/q7857pjd/4b2456275a325f0a65ac9f18ba4ccf8edfb14de4.jpg"
"1732651833-22","https://www.expat-dakar.com/appartements-a-louer?page=121","Penthouss a loué corniche fann Residences
                                3 chambre200 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        9. sept., 22:40
                                    
                    2 400 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/penthouss-a-loue-corniche-fann-residences-5864039","Penthouss a loué corniche fann Residences","3","3","200 m²","Fann
            
                Dakar","2 400 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/427bd3d4a8b94cc69654d736567ece52/-/horizon-files-prod/ed/picture/q2jqzv6k/a73b90334c47c3d3922e49899d25be11ef5ad579.jpg"
"1732651843-23","https://www.expat-dakar.com/appartements-a-louer?page=120","Duplex vide 4 chambres à louer au point E
                                4 chambre280 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        9. sept., 22:47
                                    
                    2 000 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/duplex-vide-4-chambres-a-louer-au-point-e-5955410","Duplex vide 4 chambres à louer au point E","4","5","280 m²","Point-e
            
                Dakar","2 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4b5a37f0e0229da5b7b7b20c21d529a5/-/horizon-files-prod/ed/picture/qrzv7n45/e87e582d3adfe919384a4a90681877fc72bb09db.jpg"
"1732651847-24","https://www.expat-dakar.com/appartements-a-louer?page=120","BEL APPARTEMENT F4 AU POINT E
                                3 chambre150 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        dimanche, 23:06
                                    
                    650 000 F Cfa
                        
                        781510606
                    
                        763719494","https://www.expat-dakar.com/annonce/bel-appartement-f4-au-point-e-5923340","BEL APPARTEMENT F4 AU POINT E","3","","150 m²","Point-e
            
                Dakar","650 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ffb0dcb210fd4c2239aa9bdaaa7aef2d/-/horizon-files-prod/ed/picture/qdek000g/9a66a3cb6864519c1da984c825e7700166b816da.jpg"
"1732651853-25","https://www.expat-dakar.com/appartements-a-louer?page=120","Corniche fan résidence
                                3 chambre3 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        9. sept., 22:45
                                    
                    2 500 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/corniche-fan-residence-5067902","Corniche fan résidence","3","","3 m²","Fann
            
                Dakar","2 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7c3ba614ff1ce33dffc48b04b7012193/-/horizon-files-prod/ed/picture/qvn027w/23fe3c35688726bf20488d24cb5da5ca3622fa71.jpg"
"1732651858-26","https://www.expat-dakar.com/appartements-a-louer?page=120","Penthouse à louer à fann résidence
                                4 chambre600 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        10. sept., 10:16
                                    
                    5 000 000 F Cfa
                        
                        771120873
                    
                        771120873","https://www.expat-dakar.com/annonce/penthouse-a-louer-a-fann-residence-5051804","Penthouse à louer à fann résidence","4","4","600 m²","Fann
            
                Dakar","5 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5067e680a3716a25a1c1a68e221ba7ee/-/horizon-files-prod/ed/picture/q946g2w/6e46cbba6572ac3eb23aedef889a7d1c0bfda0e9.jpg"
"1732651862-27","https://www.expat-dakar.com/appartements-a-louer?page=120","Appartement F3 aux Almadies
                                2 chambre
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        4. oct., 12:01
                                    
                    600 000 F Cfa
                        
                        781385959
                    
                        776313024","https://www.expat-dakar.com/annonce/appartement-f3-aux-almadies-5988077","Appartement F3 aux Almadies","2","","","Almadies
            
                Dakar","600 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/debb739507c9b073c68781fdeb54e7a6/-/horizon-files-prod/ed/picture/qxj2ekjw/9563434d86d9dc5913b5a08912fdf94fe1d3fbb2.jpg"
"1732651867-28","https://www.expat-dakar.com/appartements-a-louer?page=120","Apparemment à fann résidence
                                4 chambre600 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        9. sept., 22:47
                                    
                    4 000 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/apparemment-a-fann-residence-5517557","Apparemment à fann résidence","4","4","600 m²","Fann
            
                Dakar","4 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/092d048f0eb33d117da6c494ca3a6c5b/-/horizon-files-prod/ed/picture/qgqqj9vq/1617ed49b1a179e4f10404a3eeee0615343ffb75.jpg"
"1732651873-29","https://www.expat-dakar.com/appartements-a-louer?page=120","Appartement F4 à louer aux Mamelles
                                3 chambre
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        29. août, 08:33
                                    
                                            Vendeur vérifié
                                        
                    1 400 000 F Cfa
                        
                        784581818
                    
                        773109594","https://www.expat-dakar.com/annonce/appartement-f4-a-louer-aux-mamelles-5964315","Appartement F4 à louer aux Mamelles","3","","","Mamelles
            
                Dakar","1 400 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/aa02823170ddae17e3de7b934c9f909c/-/horizon-files-prod/ed/picture/qj4r2jv6/c9c255c1b2b502e0fe2d55ac4730fd68a59ccf72.jpg"
"1732651878-30","https://www.expat-dakar.com/appartements-a-louer?page=120","Apparemment meublé aux Poin E
                                3 chambre300 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        10. nov., 18:16
                                    
                    2 500 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/apparemment-meuble-aux-poin-e-5790233","Apparemment meublé aux Poin E","3","4","300 m²","Point-e
            
                Dakar","2 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5a4710f867c9ff5db4db9cc9a2082a8e/-/horizon-files-prod/ed/picture/qxj6mvgq/5fb480f540b3f7cc0b0dd0fd2fc0426890674fb6.jpg"
"1732651883-31","https://www.expat-dakar.com/appartements-a-louer?page=120","Apparemment corniche fann Residences
                                3 chambre250 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        9. sept., 22:44
                                    
                    2 000 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/apparemment-corniche-fann-residences-5864021","Apparemment corniche fann Residences","3","5","250 m²","Fann
            
                Dakar","2 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/22c824141eae8f4bdfe33b47e9c5cb3b/-/horizon-files-prod/ed/picture/qzvd2k0x/603c2fe90a0b69731b26e03d596a806f5370d81d.jpg"
"1732651887-32","https://www.expat-dakar.com/appartements-a-louer?page=120","APPARTEMENT MEUBLÉ F4 VUE MER CORNICHE FANN
                                3 chambre270 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        8. oct., 13:22
                                    
                    3 500 000 F Cfa
                        
                        772293834
                    
                        769023031","https://www.expat-dakar.com/annonce/appartement-meuble-f4-vue-mer-corniche-fann-6024829","APPARTEMENT MEUBLÉ F4 VUE MER CORNICHE FANN","3","4","270 m²","Fann
            
                Dakar","3 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/998c44377fde067d0b437d98d1fa91d5/-/horizon-files-prod/ed/picture/qq47nepj/b99c9b148fe6f7b1985eb6e1b73debc3ffdbe994.jpg"
"1732651892-33","https://www.expat-dakar.com/appartements-a-louer?page=120","A La Une
    
                                    DES APPARTEMENTS F5 LUXUEUX EN CENTRE VILLE ( PLATEAU)
                                4 chambre260 m²
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        vendredi, 10:58
                                    
                    1 300 000 F Cfa
                        
                        776374170
                    
                        338218844
                    
                        338224159","https://www.expat-dakar.com/annonce/des-appartements-f5-luxueux-en-centre-ville-plateau-6199826","DES APPARTEMENTS F5 LUXUEUX EN CENTRE VILLE ( PLATEAU)","4","","260 m²","Plateau
            
                Dakar","1 300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b412c9169dd5f1f7916e167dfe9609d0/-/horizon-files-prod/ed/picture/q9mjwk65/f3d70a6d2d9afbfcf6e85cba7f52c84295061a07.jpg"
"1732651902-34","https://www.expat-dakar.com/appartements-a-louer?page=119","Appartement deux chambres, salon à sacré coeur
                                2 chambre140 m²
                                                                                    Sacré-cœur,
                                                                                Dakar
                                    
                                        27. sept., 07:32
                                    
                    400 000 F Cfa
                        
                        767336867
                    
                        338227806","https://www.expat-dakar.com/annonce/appartement-deux-chambres-salon-a-sacre-coeur-6027392","Appartement deux chambres, salon à sacré coeur","2","3","140 m²","Sacré-cœur
            
                Dakar","400 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b48b833480a468a1e888670b02591730/-/horizon-files-prod/ed/picture/q9m9vm5n/2a87a7b973581521e4e2f5b72da736373f738b2f.jpg"
"1732651906-35","https://www.expat-dakar.com/appartements-a-louer?page=119","Belle villa  à  louer à Mermoz
                                8 chambre400 m²
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        3. oct., 11:46
                                    
                    1 400 000 F Cfa
                        
                        767336867
                    
                        338227806","https://www.expat-dakar.com/annonce/belle-villa-a-louer-a-mermoz-6027510","Belle villa  à  louer à Mermoz","8","5","400 m²","Mermoz
            
                Dakar","1 400 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1fa90177718e242210d381a5dfe27fbe/-/horizon-files-prod/ed/picture/qrzvxz0x/6223adb23aa681f6203161455c461708fb792f83.jpg"
"1732651910-36","https://www.expat-dakar.com/appartements-a-louer?page=119","Appartement F2 meublé luxe Point E avec piscine
                                1 chambre40 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        29. sept., 09:26
                                    
                    40 000 F Cfa
                        
                        768427336
                    
                        784206258
                    
                        768427336","https://www.expat-dakar.com/annonce/appartement-f2-meuble-luxe-point-e-avec-piscine-5858975","Appartement F2 meublé luxe Point E avec piscine","1","2","40 m²","Point-e
            
                Dakar","40 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/362bb3de327b13a26b5003541b0d544a/-/horizon-files-prod/ed/picture/q448j5r4/186ffb36a5e6629029482f49068ada8acbcb297d.jpg"
"1732651916-37","https://www.expat-dakar.com/appartements-a-louer?page=119","Apartement corniche fan résidence
                                3 chambre200 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        14. sept., 22:42
                                    
                    2 000 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/apartement-corniche-fan-residence-6031271","Apartement corniche fan résidence","3","3","200 m²","Fann
            
                Dakar","2 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/27496b8c626611175c38f426497b6e39/-/horizon-files-prod/ed/picture/qngxqw7v/d0b54bbcafbd6d228c8b062a402c99cdc1407583.jpg"
"1732651920-38","https://www.expat-dakar.com/appartements-a-louer?page=119","Villa Moris Deriere Philippe Moris almadi
                                5 chambre500 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        15. sept., 07:20
                                    
                    2 000 000 F Cfa
                        
                        779148819
                    
                        779148819","https://www.expat-dakar.com/annonce/villa-moris-deriere-philippe-moris-almadi-6044045","Villa Moris Deriere Philippe Moris almadi","5","6","500 m²","Almadies
            
                Dakar","2 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9db6d9f79e2f5ed8d1353a06c76dc01e/-/horizon-files-prod/ed/picture/q785zdqx/70f2de9c107115a8ad0e085306ddcb96f5f4efd4.jpg"
"1732651925-39","https://www.expat-dakar.com/appartements-a-louer?page=119","Studio Mariste croisement Camberene
                                1 chambre30 m²
                                                                                    Hann maristes,
                                                                                Dakar
                                    
                                        29. août, 20:28
                                    
                    150 000 F Cfa
                        
                        773012250
                    
                        763803286","https://www.expat-dakar.com/annonce/studio-mariste-croisement-camberene-6049724","Studio Mariste croisement Camberene","1","","30 m²","Hann maristes
            
                Dakar","150 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/96beb36620dbff616a06192806447b06/-/horizon-files-prod/ed/picture/qv4e8ezx/cef908bdf48d75f2dbe33220d7e95454add2c8a7.jpg"
"1732651930-40","https://www.expat-dakar.com/appartements-a-louer?page=119","🏢 Appartement dispo à Sacré-Cœur 3 ! #Location #D
                                4 chambre250 m²
                                                                                    Cité keur gorgui,
                                                                                Dakar
                                    
                                        1. sept., 21:59
                                    
                    1 100 000 F Cfa
                        
                        775134949","https://www.expat-dakar.com/annonce/appartement-dispo-a-sacre-coeur-3-location-d-5931778","🏢 Appartement dispo à Sacré-Cœur 3 ! #Location #D","4","3","250 m²","Cité keur gorgui
            
                Dakar","1 100 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/faebd00ce9e470c3ffa3b39cb22a45ce/-/horizon-files-prod/ed/picture/qm5pv5w6/e5ec9d361caab438b95c790d68fe01fb6b9833c6.jpg"
"1732651935-41","https://www.expat-dakar.com/appartements-a-louer?page=119","Appartement 3ch à louer à Fann résidence
                                3 chambre
                                                                                    Fann,
                                                                                Dakar
                                    
                                        31. oct., 09:26
                                    
                    2 000 000 F Cfa
                        
                        705657870
                    
                        705657870","https://www.expat-dakar.com/annonce/appartement-3ch-a-louer-a-fann-residence-6026874","Appartement 3ch à louer à Fann résidence","3","","","Fann
            
                Dakar","2 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a3858b811875bce9b36c962503f0bc26/-/horizon-files-prod/ed/picture/q8v57046/d2e9dd92027bc88905751113ec47911de6dff557.jpg"
